Nopen,"Nama Kantor","KC/KCU",REG,"Tipe Kantor","T. TRX RITEL","T. REV RITEL","T. BRT RITEL","T. Trx Loket","T. Rev Loket","T. Brt Loket","T. Trx Agenpos","T. Rev Agenpos","T. Brt Agenpos","T. Trx Oranger","T. Rev Oranger","T. Brt Oranger","T. Trx Mplace","T. Rev Mplace","T. Brt Mplace","T. Trx PosAja","T. Rev PosAja","T. Brt PosAja","T. Trx LPU","T. Rev LPU","T. Brt LPU"
87100,"KC WAINGAPU 87100",87100,5,KPRK,1,"16,200","0.56",1,"16,200","0.56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86811B1,"KPCLK BORONG 86811B1",86700,5,KPCLK,1,"192,000","1.64",1,"192,000","1.64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86511B1,"KCP RUTENG 86511B1",86700,5,KPCLK,1,"28,400","0.1",0,0,0,0,0,0,1,"28,400","0.1",0,0,0,0,0,0,0,0,0
86100,"KC MAUMERE 86100",86100,5,KPRK,2,"25,650","0.4",1,"8,500","0.1",0,0,0,1,"17,150","0.3",0,0,0,0,0,0,0,0,0
85752,"KCP ATAPUPU 85752",85700,5,KPCLK,4,"34,400","0.64",4,"34,400","0.64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85600,"KCP KEFAMENANU 85600",85500,5,KPCLK,1,"8,100","0.2",0,0,0,0,0,0,1,"8,100","0.2",0,0,0,0,0,0,0,0,0
84355,"KCP TALIWANG 84355",84300,5,KPCLK,1,"36,100","0.2",1,"36,100","0.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84353,"KCP ALAS 84353",84300,5,KPCLK,1,"8,600","0.5",0,0,0,0,0,0,1,"8,600","0.5",0,0,0,0,0,0,0,0,0
84352,"KCP UTANRHEE 84352",84300,5,KPCLK,2,"17,200","2.1",2,"17,200","2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84300,"KC SUMBAWA BESAR 84300",84300,5,KPRK,1,"20,300","0.1",1,"20,300","0.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84182,"KCP SAPE 84182",84100,5,KPCLK,1,"22,550",1,1,"22,550",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84171,"KCP TENTE 84171",84100,5,KPCLK,1,"40,200","0.2",1,"40,200","0.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84162,"KCP BAJO 84162",84100,5,KPCLK,2,"158,950","0.6",2,"158,950","0.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84161,"KCP SILA 84161",84100,5,KPCLK,1,"23,900","0.1",0,0,0,0,0,0,1,"23,900","0.1",0,0,0,0,0,0,0,0,0
84153,"KCP NIPA 84153",84100,5,KPCLK,3,"98,100","2.6",3,"98,100","2.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84100,"KC BIMA 84100",84100,5,KPRK,1,"77,450",1,0,0,0,0,0,0,1,"77,450",1,0,0,0,0,0,0,0,0,0
83672,"KCP KERUAK 83672",83600,5,KPCLK,1,"19,500","0.06",1,"19,500","0.06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83662,"KCP SIKUR 83662",83600,5,KPCLK,1,"74,100","2.4",1,"74,100","2.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83653,"KCP AIKMEL 83653",83600,5,KPCLK,1,"17,000","0.1",0,0,0,0,0,0,0,0,0,1,"17,000","0.1",0,0,0,0,0,0
83561,"KCP UBUNG 83561",83000,5,KPCLK,1,"16,950","1.14",0,0,0,0,0,0,1,"16,950","1.14",0,0,0,0,0,0,0,0,0
83500,"KCP PRAYA 83500",83000,5,KPCLK,1,"13,550","0.1",1,"13,550","0.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83371,"KCP NARMADA 83371",83000,5,KPCLK,7,"123,000","3.1",0,0,0,0,0,0,0,0,0,7,"123,000","3.1",0,0,0,0,0,0
83363,"KCP GERUNG 83363",83000,5,KPCLK,1,"15,000","0.2",1,"15,000","0.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83000,"KCU MATARAM 83000",83000,5,KPRK,3,"76,800","2.06",3,"76,800","2.06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82262,"KCP PEKUTATAN 82262",82100,5,KPCLK,1,"19,800",1,0,0,0,0,0,0,1,"19,800",1,0,0,0,0,0,0,0,0,0
82181,"KCP MARGA 82181",82100,5,KPCLK,1,"12,000","0.1",0,0,0,0,0,0,0,0,0,1,"12,000","0.1",0,0,0,0,0,0
82100,"KC TABANAN 82100",82100,5,KPRK,2,"22,600","0.8",2,"22,600","0.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81116U1,"agen primer koperasi pegawai pos 81116u1",81100,5,AGENPOS,1,"14,000","0.6",0,0,0,1,"14,000","0.6",0,0,0,0,0,0,0,0,0,0,0,0
81100,"KC SINGARAJA 81100",81100,5,KPRK,1,"6,500","0.25",0,0,0,0,0,0,0,0,0,1,"6,500","0.25",0,0,0,0,0,0
80871,"KCP MANGGIS 80871",80500,5,KPCLK,3,"37,500",3,0,0,0,0,0,0,0,0,0,3,"37,500",3,0,0,0,0,0,0
80800,"KCP AMLAPURA 80800",80500,5,KPCLK,2,"68,600","5.9",1,"10,900","0.5",0,0,0,1,"57,700","5.4",0,0,0,0,0,0,0,0,0
80700,"KCP SEMARAPURA 80700",80500,5,KPCLK,4,"57,000","0.4",4,"57,000","0.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80582,"KCP SUKAWATI 80582",80500,5,KPCLK,2,"17,900","1.1",1,"9,900","0.1",0,0,0,0,0,0,1,"8,000",1,0,0,0,0,0,0
80571CA,"AGEN ARJUNA UBUD 80571CA",80500,5,AGENPOS,1,"603,051","0.2",0,0,0,1,"603,051","0.2",0,0,0,0,0,0,0,0,0,0,0,0
80571C7,"AGEN RENNISANT 80571C7",80500,5,AGENPOS,1,"18,100","0.34",0,0,0,1,"18,100","0.34",0,0,0,0,0,0,0,0,0,0,0,0
80571,"KCP UBUD 80571",80500,5,KPCLK,1,"12,000","0.5",0,0,0,0,0,0,0,0,0,1,"12,000","0.5",0,0,0,0,0,0
80365CG,"AGEN SUNSET BALI 80365CG",80000,5,AGENPOS,1,"49,500","2.8",0,0,0,1,"49,500","2.8",0,0,0,0,0,0,0,0,0,0,0,0
80361C7,"AGEN DPR SAUDARA 80361C7",80000,5,AGENPOS,1,"18,000","0.1",0,0,0,1,"18,000","0.1",0,0,0,0,0,0,0,0,0,0,0,0
80351U1,"AGEN SEMPIDI 80351U1",80000,5,AGENPOS,1,"27,000","0.1",0,0,0,1,"27,000","0.1",0,0,0,0,0,0,0,0,0,0,0,0
80223CA,"AGEN DPR DEWA 2 SESETAN 80223CA",80000,5,AGENPOS,1,"32,500",0,0,0,0,1,"32,500",0,0,0,0,0,0,0,0,0,0,0,0,0
80117U1,"AGEN DPR PADANGSAMBIAN 80117U1",80000,5,AGENPOS,1,"49,500","4.4",0,0,0,1,"49,500","4.4",0,0,0,0,0,0,0,0,0,0,0,0
80117C8,"AGEN DPR VIRGO 80117C8",80000,5,AGENPOS,1,"53,500","0.25",0,0,0,0,0,0,0,0,0,1,"53,500","0.25",0,0,0,0,0,0
80116U1,"AGEN DPR UBUNG 80116U1",80000,5,AGENPOS,3,"42,300","0.4",0,0,0,3,"42,300","0.4",0,0,0,0,0,0,0,0,0,0,0,0
