Nopen,"KC/KCU",REG,"T. TRX RITEL","T. REV RITEL","T. BRT RITEL","T. Trx Loket","T. Rev Loket","T. Brt Loket","T. Trx Agenpos","T. Rev Agenpos","T. Brt Agenpos","T. Trx Oranger","T. Rev Oranger","T. Brt Oranger"
86700,86700,5,1,"52,650","0.7",1,"52,650","0.7",0,0,0,0,0,0
86600,86100,5,2,"54,900","0.14",2,"54,900","0.14",0,0,0,0,0,0
86300,86300,5,1,"169,950","1.3",0,0,0,0,0,0,1,"169,950","1.3"
86100,86100,5,3,"49,150","0.5",2,"32,000","0.2",0,0,0,1,"17,150","0.3"
85752,85700,5,2,"17,200","0.32",2,"17,200","0.32",0,0,0,0,0,0
85600,85500,5,2,"36,000","0.7",0,0,0,0,0,0,2,"36,000","0.7"
85361A,85000,5,1,"17,015","1.3",1,"17,015","1.3",0,0,0,0,0,0
85000,85000,5,1,"82,350","1.7",0,0,0,0,0,0,1,"82,350","1.7"
84356,84300,5,2,"65,950","0.5",2,"65,950","0.5",0,0,0,0,0,0
84355,84300,5,1,"36,100","0.2",1,"36,100","0.2",0,0,0,0,0,0
84353,84300,5,1,"8,600","0.5",0,0,0,0,0,0,1,"8,600","0.5"
84352,84300,5,1,"8,600",1,1,"8,600",1,0,0,0,0,0,0
84311A,84300,5,1,"188,400","7.7",1,"188,400","7.7",0,0,0,0,0,0
84300,84300,5,1,"20,300","0.1",1,"20,300","0.1",0,0,0,0,0,0
84182,84100,5,1,"22,550",1,1,"22,550",1,0,0,0,0,0,0
84162,84100,5,1,"73,400","0.3",0,0,0,0,0,0,1,"73,400","0.3"
84161,84100,5,1,"23,900","0.1",0,0,0,0,0,0,1,"23,900","0.1"
84153,84100,5,1,"30,500","1.3",1,"30,500","1.3",0,0,0,0,0,0
83672,83600,5,1,"19,500","0.06",1,"19,500","0.06",0,0,0,0,0,0
83662,83600,5,1,"74,100","2.4",1,"74,100","2.4",0,0,0,0,0,0
83573B1,83000,5,2,"197,100","9.8",0,0,0,0,0,0,2,"197,100","9.8"
83561,83000,5,1,"16,950","1.14",0,0,0,0,0,0,1,"16,950","1.14"
83372B1,83000,5,1,"7,700","0.1",1,"7,700","0.1",0,0,0,0,0,0
83371,83000,5,7,"123,000","3.1",0,0,0,0,0,0,7,"123,000","3.1"
83000,83000,5,2,"45,000","0.4",2,"45,000","0.4",0,0,0,0,0,0
82262,82100,5,2,"18,000","2.6",0,0,0,0,0,0,2,"18,000","2.6"
82217U1,82100,5,1,"8,000","0.2",0,0,0,1,"8,000","0.2",0,0,0
82100,82100,5,1,"11,800","0.5",1,"11,800","0.5",0,0,0,0,0,0
81173,81100,5,1,"8,150","0.1",1,"8,150","0.1",0,0,0,0,0,0
81116U1,81100,5,3,"45,150","1.8",0,0,0,3,"45,150","1.8",0,0,0
80800,80500,5,5,"105,100","6.5",4,"47,400","1.1",0,0,0,1,"57,700","5.4"
80571CA,80500,5,1,"603,051","0.2",0,0,0,1,"603,051","0.2",0,0,0
80571,80500,5,1,"12,000","0.5",1,"12,000","0.5",0,0,0,0,0,0
80365CG,80000,5,1,"49,500","2.8",0,0,0,1,"49,500","2.8",0,0,0
80364U1,80000,5,1,"931,626",2,0,0,0,1,"931,626",2,0,0,0
80361CZ,80000,5,6,"43,200","0.6",0,0,0,6,"43,200","0.6",0,0,0
80361C7,80000,5,1,"18,000","0.1",0,0,0,1,"18,000","0.1",0,0,0
80351U1,80000,5,1,"27,000","0.1",0,0,0,1,"27,000","0.1",0,0,0
80237U1,80000,5,1,"450,972","0.24",0,0,0,1,"450,972","0.24",0,0,0
80233A,80000,5,1,"11,000","0.1",1,"11,000","0.1",0,0,0,0,0,0
80223CA,80000,5,2,"109,500","6.54",0,0,0,2,"109,500","6.54",0,0,0
80221CB,80000,5,2,"36,000","0.2",0,0,0,2,"36,000","0.2",0,0,0
80119U1,80000,5,1,"36,000","1.7",0,0,0,1,"36,000","1.7",0,0,0
80117U1,80000,5,1,"49,500","4.4",0,0,0,1,"49,500","4.4",0,0,0
80116U1,80000,5,1,"16,200","0.1",0,0,0,1,"16,200","0.1",0,0,0
80114A,80000,5,15,"268,000","3.4",15,"268,000","3.4",0,0,0,0,0,0
80113U1,80000,5,1,"182,115","0.4",0,0,0,1,"182,115","0.4",0,0,0
80000,80000,5,6,"496,433","1.7",6,"496,433","1.7",0,0,0,0,0,0
69473,69400,5,1,"76,000","4.3",0,0,0,0,0,0,1,"76,000","4.3"
69464,69400,5,1,"18,500","2.2",1,"18,500","2.2",0,0,0,0,0,0
69400,69400,5,4,"55,100","0.4",4,"55,100","0.4",0,0,0,0,0,0
69352,69300,5,1,"51,300","3.3",0,0,0,0,0,0,1,"51,300","3.3"
69300,69300,5,11,"130,400","6.5",10,"111,800",6,0,0,0,1,"18,600","0.5"
69291,69200,5,1,"18,000","0.3",0,0,0,0,0,0,1,"18,000","0.3"
69252,69200,5,1,"7,200",1,1,"7,200",1,0,0,0,0,0,0
69200,69200,5,3,"38,800","0.32",1,"16,200","0.2",0,0,0,2,"22,600","0.12"
69166,69100,5,1,"6,800","0.3",0,0,0,0,0,0,1,"6,800","0.3"
69164,69100,5,1,"14,500",0,1,"14,500",0,0,0,0,0,0,0
69162,69100,5,1,"10,800","0.1",1,"10,800","0.1",0,0,0,0,0,0
69156,69100,5,1,"7,000","0.34",1,"7,000","0.34",0,0,0,0,0,0
69154,69100,5,1,"16,100","0.04",0,0,0,0,0,0,1,"16,100","0.04"
69100,69100,5,2,"24,400","0.8",1,"15,800","0.3",0,0,0,1,"8,600","0.5"
68489,68400,5,1,"396,900",3,0,0,0,0,0,0,1,"396,900",3
68414A,68400,5,3,"25,500","0.3",0,0,0,0,0,0,3,"25,500","0.3"
68400,68400,5,6,"177,515","6.6",1,"12,150","1.3",0,0,0,5,"165,365","5.3"
68373,68300,5,1,"17,600",1,0,0,0,0,0,0,1,"17,600",1
68356,68300,5,1,"9,950","0.5",0,0,0,0,0,0,1,"9,950","0.5"
68355,68300,5,2,"32,500","2.3",0,0,0,0,0,0,2,"32,500","2.3"
68300,68300,5,2,"27,100","0.12",1,"15,800","0.06",0,0,0,1,"11,300","0.06"
68287,68200,5,1,"10,000","0.8",0,0,0,0,0,0,1,"10,000","0.8"
68272B1,68200,5,2,"44,600","1.9",0,0,0,0,0,0,2,"44,600","1.9"
68200,68200,5,4,"108,600","9.84",2,"60,900","6.14",0,0,0,2,"47,700","3.7"
68195B1,68100,5,1,"7,650","0.5",0,0,0,0,0,0,1,"7,650","0.5"
